Date,Average kWh,Fuel Charge (Cents/kWh),Average Bill
2000 Jan,820,1.372,54.26
2000 Feb,766,1.372,50.27
2000 Mar,707,1.372,45.91
2000 Apr,715,1.372,46.50
2000 May,838,1.372,61.68
2000 Jun,1221,1.372,96.88
2000 Jul,1442,1.372,117.20
2000 Aug,1493,1.635,125.81
2000 Sep,1368,1.635,113.99
2000 Oct,1029,1.635,81.94
2000 Nov,804,2.211,59.83
2000 Dec,864,2.211,64.77
2001 Jan,1019,2.211,77.52
2001 Feb,855,2.682,68.05
2001 Mar,714,2.682,55.78
2001 Apr,727,2.682,56.91
2001 May,794,2.682,68.04
2001 Jun,1138,2.682,104.16
2001 Jul,1320,2.682,123.28
2001 Aug,1539,2.682,146.28
2001 Sep,1334,2.682,124.75
2001 Oct,885,2.682,77.59
2001 Nov,691,2.682,53.78
2001 Dec,762,2.682,59.96
2002 Jan,888,1.774,62.86
2002 Feb,799,1.774,55.92
2002 Mar,732,1.774,50.70
2002 Apr,689,1.774,47.35
2002 May,941,1.774,74.93
2002 Jun,1091,1.774,89.32
2002 Jul,1224,1.774,102.08
2002 Aug,1303,1.774,109.66
2002 Sep,1376,1.774,116.66
2002 Oct,1047,1.774,85.10
2002 Nov,717,1.774,49.53
2002 Dec,788,1.774,55.07
2003 Jan,858,1.774,60.52
2003 Feb,822,1.774,57.72
2003 Mar,801,1.774,56.08
2003 Apr,643,1.774,43.77
2003 May,848,1.774,66.01
2003 Jun,1125,1.774,92.58
2003 Jul,1285,2.004,110.89
2003 Aug,1352,2.004,117.47
2003 Sep,1331,2.004,115.41
2003 Oct,954,2.004,78.37
2003 Nov,782,2.265,58.44
2003 Dec,762,2.265,56.78
2004 Jan,871,2.796,70.44
2004 Feb,773,2.796,61.80
2004 Mar,695,2.796,54.92
2004 Apr,687,2.796,54.22
2004 May,726,2.796,61.72
2004 Jun,1065,2.796,97.71
2004 Jul,1218,2.796,113.95
2004 Aug,1277,2.796,120.22
2004 Sep,1235,2.796,115.76
2004 Oct,1052,2.796,96.33
2004 Nov,873,2.796,70.61
2004 Dec,762,2.796,60.83
2005 Jan,850,2.796,68.59
2005 Feb,737,2.796,58.62
2005 Mar,708,2.796,56.07
2005 Apr,680,2.796,53.60
2005 May,706,2.796,59.60
2005 Jun,1125,2.796,104.08
2005 Jul,1435,2.796,136.99
2005 Aug,1324,2.796,125.21
2005 Sep,1430,2.796,136.46
2005 Oct,1218,2.796,113.95
2005 Nov,737,2.796,58.62
2005 Dec,820,2.796,65.94
2006 Jan,796,3.634,70.50
2006 Feb,665,3.634,57.85
2006 Mar,757,3.634,66.73
2006 Apr,768,3.634,67.79
2006 May,891,3.634,86.71
2006 Jun,1175,3.634,119.23
2006 Jul,1354,3.634,139.74
2006 Aug,1428,3.634,148.21
2006 Sep,1424,3.634,147.75
2006 Oct,1063,3.634,106.41
2006 Nov,730,3.634,64.12
2006 Dec,776,3.634,68.57
2007 Jan,909,3.343,78.76
2007 Feb,908,3.343,78.67
2007 Mar,731,3.343,62.09
2007 Apr,678,3.343,57.13
2007 May,765,3.343,70.05
2007 Jun,1036,3.044,97.20
2007 Jul,1163,3.044,111.00
2007 Aug,1232,3.044,118.49
2007 Sep,1314,3.044,127.40
2007 Oct,1092,3.044,103.28
2007 Nov,779,3.044,64.26
2007 Dec,798,3.044,65.98
2008 Jan,911,3.653,81.77
2008 Feb,814,3.653,72.39
2008 Mar,704,3.653,61.75
2008 Apr,684,3.653,59.81
2008 May,792,3.653,75.52
2008 Jun,1233,3.653,126.11
2008 Jul,1413,3.653,146.76
2008 Aug,1407,3.653,146.08
2008 Sep,1306,3.653,134.49
2008 Oct,1004,3.653,99.84
2008 Nov,686,3.653,60.01
2008 Dec,732,3.653,64.46
2009 Jan,906,3.653,81.29
2009 Feb,708,3.653,62.13
2009 Mar,653,3.653,56.81
2009 Apr,664,3.653,57.88
2009 May,794,3.653,75.75
2009 Jun,1115,3.653,112.57
2009 Jul,1511,3.653,158.01
2009 Aug,1457,3.653,151.81
2009 Sep,1353,3.653,139.88
2009 Oct,924,3.653,90.66
2009 Nov,682,3.653,59.62
2009 Dec,753,3.653,66.49
2010 Jan,997,3.653,90.09
2010 Feb,808,3.653,71.81
2010 Mar,807,3.653,71.71
2010 Apr,628,3.653,54.40
2010 May,707,3.653,65.76
2010 Jun,1098,3.653,110.62
2010 Jul,1321,3.653,136.21
2010 Aug,1336,3.653,137.93
2010 Sep,1411,3.653,146.53
2010 Oct,946,3.653,93.18
2010 Nov,696,3.653,61.54
2010 Dec,736,3.653,65.45
2011 Jan,862,3.105,73.01
2011 Feb,884,3.105,75.04
2011 Mar,701,3.105,58.19
2011 Apr,713,3.105,59.30
2011 May,901,3.105,83.82
2011 Jun,1213,3.105,118.16
2011 Jul,1481,3.105,147.66
2011 Aug,1527,3.105,152.73
2011 Sep,1565,3.105,156.91
2011 Oct,993,3.615,93.95
2011 Nov,732,3.615,65.23
2011 Dec,710,3.615,63.08
2012 Jan,882,3.615,74.03
2012 Feb,663,3.615,58.48
2012 Mar,683,3.615,60.44
2012 Apr,731,3.615,65.13
2012 May,865,3.615,84.81
2012 Jun,1175,3.615,120.70
2012 Jul,1304,3.615,135.64
2012 Aug,1380,3.615,144.44
2012 Sep,1281,3.372,132.98
2012 Oct,871,3.372,80.31
2012 Nov,735,3.375,66.37
2012 Dec,659,3.372,58.57
2013 Jan,903,3.372,83.59
2013 Feb,651,3.372,57.76
2013 Mar,617,3.372,54.26
2013 Apr,630,3.372,55.60
2013 May,733,3.372,66.17
2013 Jun,1071,3.372,122.81
2013 Jul,1281,3.372,151.69
2013 Aug,1382,3.372,165.58
2013 Sep,1295,3.372,153.62
2013 Oct,940,3.372,87.39
2013 Nov,666,3.709,62.72
2013 Dec,828,3.709,80.15
2014 Jan,954,3.709,93.72
2014 Feb,837,3.709,81.13
2014 Mar,693,3.709,65.61
2014 Apr,625,3.709,58.30
2014 May,726,3.709,69.18
2014 Jun,970,3.709,114.23
2014 Jul,1182,3.709,144.15
2014 Aug,1265,3.709,156.00
2014 Sep,1313,3.709,162.84
2014 Oct,883,3.709,86.08
2014 Nov,736,3.945,72.76
2014 Dec,674,3.945,65.41
2015 Jan,924,3.945,93.01
2015 Feb,703,3.945,68.60
2015 Mar,773,3.945,76.34
2015 Apr,643,3.945,62.00
2015 May,715,3.945,69.93
2015 Jun,916,3.945,109.61
2015 Jul,1164,3.945,144.74
2015 Aug,1356,3.945,172.65
2015 Sep,1247,3.945,156.81
2015 Oct,987,3.945,99.97
2015 Nov,673,3.139,63.07
2015 Dec,657,3.139,61.34
2016 Jan,788,3.139,75.38
2016 Feb,663,3.139,61.99
2016 Mar,602,3.139,55.46
2016 Apr,612,2.783,54.34
2016 May,702,2.783,63.67
2016 Jun,963,2.783,109.30
2016 Jul,1258,2.783,149.75
2016 Aug,1251,2.783,148.78
2016 Sep,1166,2.783,137.01
2016 Oct,940,2.783,88.30
2016 Nov,728,2.727,65.48
2016 Dec,671,2.727,59.65
2017 Jan,778,2.727,76.25
2017 Feb,607,2.727,58.35
2017 Mar,610,2.727,58.67
2017 Apr,658,2.727,63.69
2017 May,708,2.727,68.94
2017 Jun,959,2.829,96.17
2017 Jul,1246,2.829,131.36
2017 Aug,1277,2.829,135.26
2017 Sep,1128,2.829,116.56
2017 Oct,888,2.727,87.78
2017 Nov,660,2.936,65.42
2017 Dec,637,2.936,62.96
2018 Jan,887,2.936,89.68
2018 Feb,757,2.936,75.78
2018 Mar,600,2.936,59.00
2018 Apr,626,2.936,61.78
2018 May,686,2.936,68.19
2018 Jun,1144,3.007,120.82
2018 Jul,1183,3.007,125.78
2018 Aug,1311,3.007,142.10
2018 Sep,1224,3.007,131.02
2018 Oct,819,2.936,82.41
2018 Nov,685,2.895,68.01
2018 Dec,663,2.895,65.67
2019 Jan,761,2.895,76.13
2019 Feb,707,2.895,70.38
2019 Mar,658,2.895,65.13
